"routine_schema","routine_name","arguments_accepted"
"public","st_transscale","geometry, double precision, double precision, double precision, double precision"
"public","st_boundary","geometry"
"public","st_polygon","geometry, integer"
"public","polygonfromwkb","bytea"
"public","text","character"
"public","st_interiorringn","geometry, integer"
"public","mem_size","geometry"
"public","disjoint","geometry, geometry"
"public","st_asgeojson","integer, geography, integer, integer"
"public","geometry_contained","geometry, geometry"
"public","getsrid","geometry"
"public","dropbbox","geometry"
"public","st_closestpoint","geometry, geometry"
"public","st_asgml","geometry"
"public","st_perimeter3d","geometry"
"public","numinteriorring","geometry"
"public","st_length","geography, boolean"
"public","lwgeom_gist_consistent","internal, geometry, integer"
"public","relate","geometry, geometry"
"public","st_asgeojson","geography, integer"
"public","geomfromwkb","bytea, integer"
"public","polyfromtext","text"
"public","st_translate","geometry, double precision, double precision, double precision"
"public","st_box2d","box3d"
"public","st_coorddim","geometry"
"public","st_orderingequals","geometry, geometry"
"public","st_geometry","box3d"
"public","st_length2d_spheroid","geometry, spheroid"
"public","st_asgeojson","geography"
"public","geometrytype","geometry"
"public","box","circle"
"public","st_extent3d","geometry"
"public","overlaps","timestamp without time zone, timestamp without time zone, timestamp without time zone, timestamp without time zone"
"public","st_distance_sphere","geometry, geometry"
"public","makebox2d","geometry, geometry"
"public","st_geometry_same","geometry, geometry"
"public","mlinefromwkb","bytea"
"public","st_asewkb","geometry, text"
"public","st_box2d_out","box2d"
"public","st_geometry_overlap","geometry, geometry"
"public","mpointfromtext","text, integer"
